dog,height,weight,life,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,marking,temp,black_color,white_color,red_color,Coat Type_double,Coat Type_others,Coat Type_smooth,bmi
black-russian-terrier,0.8627450980392157,0.5263157894736842,0.391304347826087,0.5,0.5,0.5,0.5,0.75,0.5,1.0,0.25,0.5,1.0,0.75,0.75,0.75,0.5,0.75,0.6395939086294417,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.4916375318907682
bloodhound,0.7647058823529411,0.5,0.391304347826087,0.75,0.5,0.5,0.5,0.25,1.0,0.0,0.5,0.5,0.25,0.5,0.75,0.5,1.0,0.5,0.24873096446700507,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.516641347880127
bluetick-coonhound,0.7058823529411765,0.32894736842105265,0.43478260869565216,0.5,0.5,1.0,0.5,0.25,0.25,0.0,0.5,0.5,0.25,0.5,0.75,0.75,0.75,0.5,0.7055837563451777,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.34818451617630897
boerboel,0.7450980392156863,0.8947368421052632,0.30434782608695654,1.0,0.75,0.25,0.5,0.25,0.5,0.0,0.5,0.5,1.0,0.5,0.75,0.5,0.5,0.75,0.5939086294416244,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.9823987045446544
bohemian-shepherd,0.5725490196078432,0.2394736842105263,0.6086956521739131,1.0,1.0,0.5,0.5,0.25,0.25,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.2923328256485744
bolognese,0.17647058823529413,0.015789473684210527,0.5652173913043478,0.5,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.035090582666884286
border-collie,0.5490196078431373,0.19736842105263158,0.6086956521739131,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.75,1.0,0.5,1.0,1.0,1.0,0.75,1.0,0.15228426395939088,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.24289530148443317
border-terrier,0.27450980392156865,0.04868421052631579,0.6086956521739131,0.75,1.0,0.5,0.25,0.25,0.0,0.0,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.45685279187817257,1.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0857769798523838
borzoi,0.8431372549019608,0.4473684210526316,0.43478260869565216,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.25,0.75,0.5228426395939086,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.41908181585021803
boston-terrier,0.37254901960784315,0.07105263157894737,0.4782608695652174,1.0,1.0,0.75,0.25,0.25,0.0,0.0,1.0,1.0,0.5,0.5,0.75,0.75,0.25,0.5,0.1116751269035533,0.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,0.10132405745062836
bouvier-des-flandres,0.7647058823529411,0.4473684210526316,0.391304347826087,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.5076142131979695,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.45725728490539985
boxer,0.6862745098039216,0.35526315789473684,0.391304347826087,0.75,1.0,0.5,0.25,0.25,0.5,0.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.06598984771573604,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.3892130460801915
boykin-spaniel,0.4019607843137255,0.15789473684210525,0.5217391304347826,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.4517766497461929,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.24542458265226824
bracco-italiano,0.6862745098039216,0.35526315789473684,0.4782608695652174,0.5,0.75,0.75,0.25,0.0,0.25,0.0,0.5,0.5,0.5,0.5,1.0,0.75,0.25,0.5,1.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,0.3892130460801915
braque-du-bourbonnais,0.5588235294117647,0.20526315789473684,0.391304347826087,0.5,0.5,0.75,0.25,0.0,0.25,0.0,0.5,0.5,0.5,0.5,1.0,0.75,0.25,0.5,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25020008219592915
braque-francais-pyrenean,0.5588235294117647,0.2236842105263158,0.5334688770722553,0.5,1.0,1.0,0.5,0.0,0.25,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,0.27624321342821917
briard,0.7254901960784313,0.3815789473684211,0.4782608695652174,0.5,0.5,0.5,0.0,0.75,0.25,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.5,0.7563451776649747,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.4014362657091562
brittany,0.49019607843137253,0.15789473684210525,0.5652173913043478,0.5,0.75,0.75,0.5,0.5,0.0,0.0,0.5,0.75,0.5,0.5,1.0,1.0,0.5,0.75,0.12690355329949238,1.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,0.2072191250118114
broholmer,0.8627450980392157,0.6052631578947368,0.21739130434782608,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.75,0.5,0.5,0.25,0.0,0.5,1.0,1.0,0.25,1.0,0.0,1.0,0.0,0.0,1.0,0.5728999338561844
brussels-griffon,0.0784313725490196,0.021052631578947368,0.6086956521739131,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.4873096446700508,0.0,0.25,1.0,0.0,1.0,0.0,0.0,1.0,0.0862815503221037
bull-terrier,0.5882352941176471,0.2894736842105263,0.5217391304347826,0.75,0.5,0.0,0.5,0.25,0.0,0.0,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.75,0.30456852791878175,0.0,0.25,1.0,1.0,1.0,0.0,0.0,1.0,0.35368043087971274
bulldog,0.3137254901960784,0.23684210526315788,0.21739130434782608,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.75,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.025380710659898477,1.0,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.45520955859592643
bullmastiff,0.7647058823529411,0.6052631578947368,0.13043478260869565,0.75,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.75,0.75,0.0,0.75,0.27918781725888325,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.6354094738295815
cairn-terrier,0.13725490196078433,0.04736842105263158,0.6521739130434783,0.75,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.37055837563451777,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.13895870736086174
canaan-dog,0.6078431372549019,0.23684210526315788,0.6086956521739131,0.5,0.5,0.5,0.75,0.25,0.0,0.0,0.5,0.5,0.75,0.5,0.75,0.5,1.0,0.5,0.9441624365482234,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.2737065448016974
cane-corso,0.7745098039215687,0.25268484977626254,0.34782608695652173,0.75,0.5,0.5,0.25,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.75,0.75,0.5,0.5,0.10152284263959391,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.23459830352015934
cardigan-welsh-corgi,0.19607843137254902,0.15263157894736842,0.6086956521739131,0.75,0.75,0.5,0.5,0.25,0.0,0.5,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.75,0.3350253807106599,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.3792834283038014
carolina-dog,0.47549019607843135,0.19736842105263158,0.5334688770722553,0.5,0.5,0.5,0.5,0.0,0.25,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.0,1.0,0.27511958839902156
catahoula-leopard-dog,0.6470588235294118,0.35526315789473684,0.4782608695652174,0.75,0.5,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.75,0.5,0.75,1.0,0.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.0,1.0,0.409491842947467
caucasian-shepherd-dog,0.7843137254901961,0.6815789473684211,0.391304347826087,0.5,0.5,0.25,0.75,0.5,0.75,0.5,0.25,0.25,1.0,0.5,0.5,0.5,0.25,0.5,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.7064462585955761
cavalier-king-charles-spaniel,0.23529411764705882,0.05526315789473684,0.6086956521739131,1.0,1.0,1.0,0.25,0.25,0.25,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.07106598984771574,1.0,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.11425493716337522
central-asian-shepherd-dog,0.7254901960784313,0.49473684210526314,0.5334688770722553,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.75,0.75,0.5,0.5,0.5,1.0,1.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,0.5342190305206463
cesky-terrier,0.19607843137254902,0.07368421052631578,0.6086956521739131,0.75,1.0,0.5,0.25,0.25,0.0,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.9593908629441624,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.17789399734603076
chesapeake-bay-retriever,0.7058823529411765,0.35526315789473684,0.43478260869565216,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0.75,1.0,0.75,0.5,0.75,0.23857868020304568,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.37969442714249074
chihuahua,0.0,0.005263157894736842,0.7391304347826086,0.75,0.0,0.5,0.25,0.0,0.0,0.5,0.25,0.75,0.75,0.75,0.5,0.75,1.0,0.5,0.18274111675126903,1.0,0.25,1.0,1.0,1.0,0.0,0.0,1.0,0.06532246927219998
chinese-crested,0.21568627450980393,0.02631578947368421,0.782608695652174,0.75,0.5,0.5,0.0,0.25,0.0,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.38578680203045684,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.05146618791143029
chinese-shar-pei,0.49019607843137253,0.25,0.30434782608695654,0.75,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.3197969543147208,1.0,0.25,1.0,1.0,1.0,0.0,0.0,1.0,0.3494283284512898
chinook,0.7254901960784313,0.35526315789473684,0.6086956521739131,0.75,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.75,0.75,0.5,1.0,0.5,0.868020304568528,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.370556552962298
chow-chow,0.47058823529411764,0.27631578947368424,0.30434782608695654,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.4010152284263959,0.0,0.25,1.0,0.0,1.0,0.0,0.0,1.0,0.4026881459556504
cirneco-delletna,0.4803921568627451,0.1,0.5652173913043478,0.75,0.5,0.75,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.75,0.75,0.5,0.25,0.5,0.9238578680203046,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.12043087971274687
clumber-spaniel,0.49019607843137253,0.3815789473684211,0.391304347826087,0.75,0.5,0.5,0.5,0.25,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.0,0.5,0.751269035532995,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5525843333648304
cocker-spaniel,0.3333333333333333,0.11842105263157894,0.4782608695652174,0.75,1.0,1.0,0.5,0.75,0.25,1.0,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.14213197969543148,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.20586475164572113
collie,0.7254901960784313,0.32894736842105265,0.5652173913043478,0.75,1.0,0.5,0.5,0.5,0.25,1.0,0.5,0.75,0.5,0.75,0.75,0.5,1.0,0.5,0.18781725888324874,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.33967684021543987
coton-de-tulear,0.1568627450980392,0.03684210526315789,0.9130434782608695,1.0,1.0,1.0,0.25,0.75,0.0,1.0,1.0,0.75,0.5,0.75,0.75,0.5,0.0,0.5,0.41624365482233505,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.09925621954347268
croatian-sheepdog,0.45098039215686275,0.16578947368421051,0.6086956521739131,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.25,0.5,1.0,0.25,0.5,0.5,0.5,0.5,1.0,0.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.23588669459405545
curly-coated-retriever,0.7647058823529411,0.3815789473684211,0.391304347826087,1.0,1.0,0.5,0.25,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.8426395939086294,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.38302720618699077
czechoslovakian-vlcak,0.7058823529411765,0.2394736842105263,0.5217391304347826,0.5,0.0,0.0,1.0,0.25,0.5,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.5,0.5,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.2410508188912908
dachshund,0.0784313725490196,0.1,0.6521739130434783,1.0,0.5,0.75,0.25,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0.5,1.0,0.5,0.04568527918781726,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.35874960397085226
dalmatian,0.5882352941176471,0.27631578947368424,0.4782608695652174,1.0,0.5,0.5,0.75,0.25,0.25,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.2436548223350254,0.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,0.3357271095152603
dandie-dinmont-terrier,0.11764705882352941,0.08421052631578947,0.6086956521739131,0.75,0.5,0.5,0.25,0.5,0.0,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.8781725888324873,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.2641028063876028
danish-swedish-farmdog,0.27450980392156865,0.06578947368421052,0.4782608695652174,1.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,1.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,0.12294700445508344
